"Part";"Value";"Device";"Package";"Description";"";
"C6";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";
"COLOR_HEADER";"COLOR_HEADER";"HEADER-1X770MIL";"1X07_ROUND_70";"PIN HEADER";"";
"D2";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";
"ICSP";"3x2 M";"PINHD-2X3";"2X03";"PIN HEADER";"";
"OLED_HEADER";"OLED_HEADER";"HEADER-1X870MIL";"1X08_ROUND_70";"PIN HEADER";"";
"POWER_IN";"POWER_IN";"PINHD-1X6";"1X06";"PIN HEADER";"";
"POWER_SWITCH";"POWER_SWITCH";"EG1218S";"EG1218";"SLIDING SWITCH";"";
"PSW_HEADER";"PSW_HEADER";"PINHD-1X6CB";"1X06-CLEANBIG";"PIN HEADER";"";
"R2";"1M";"R-EU_R0603";"R0603-ROUND";"RESISTOR, European symbol";"";
"RESET";"TS42031-160R-TR-7260";"TS42";"TS42";"TS42";"";
"RN3";"10K";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";
"RN4";"1K";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";
"SCAN_BUTTON";"SCAN_BUTTON";"31-XX";"B3F-31XX";"OMRON SWITCH";"";
"USB_SERIAL_HEADER";"USB_SERIAL_HEADER";"PINHD-1X6";"1X06";"PIN HEADER";"";
"Y2";"CSTCE16M0V53-R0 16MHZ";"RESONATORMU";"RESONATOR";"";"";
"ZU4";"ATMEGA328P-PU";"ATMEGA328P-PU";"DIL28-3";"MICROCONTROLLER";"";
